Station,Length,Moment
2,149,-0.2832571828898157
2,150,-0.28611836655536943
2,151,-0.28897955022092314
2,152,-0.3012540727698114
2,153,-0.3135285953186997
2,154,-0.325803117867588
2,155,-0.33807764041647625
2,156,-0.35035216296536453
2,157,-0.3626266855142528
2,158,-0.3749012080631411
2,159,-0.38717573061202937
2,160,-0.39945025316091765
2,161,-0.4117247757098059
2,162,-0.4239992982586942
2,163,-0.4362738208075825
2,164,-0.44854834335647076
2,165,-0.46082286590535904
2,166,-0.4730973884542473
2,167,-0.4853719110031356
2,168,-0.49764643355202387
2,169,-0.5099209561009121
2,170,-0.5221954786498004
2,171,-0.5344700011986887
2,172,-0.546744523747577
2,173,-0.5590190462964653
2,174,-0.5712935688453535
2,175,-0.5835680913942418
2,176,-0.5958426139431301
2,177,-0.6081171364920184
2,178,-0.6203916590409067
2,179,-0.6326661815897949
2,180,-0.6449407041386832
2,181,-0.6572152266875715
2,182,-0.6694897492364598
2,183,-0.681764271785348
2,184,-0.6940387943342363
2,185,-0.7063133168831246
2,186,-0.7185878394320129
2,187,-0.7308623619809012
2,188,-0.7431368845297894
2,189,-0.7554114070786777
2,190,-0.767685929627566
2,191,-0.7799604521764543
2,192,-0.7922349747253425
2,193,-0.8045094972742308
2,194,-0.8167840198231191
2,195,-0.8290585423720074
2,196,-0.8413330649208957
2,197,-0.8536075874697839
2,198,-0.8658821100186722
2,199,-0.8781566325675605
2,200,-0.8904311551164488
2,201,-0.902705677665337
3,202,-0.9149802002142253
3,203,-0.9272547227631136
3,204,-0.9395292453120019
3,205,-0.9518037678608902
3,206,-0.9640782904097784
3,207,-0.9763528129586667
3,208,-0.988627335507555
3,209,-1.0009018580564433
3,210,-1.0131763806053316
3,211,-1.0254509031542198
3,212,-1.037725425703108
3,213,-1.0499999482519964
3,214,-1.0622744708008847
3,215,-1.074548993349773
3,216,-1.0868235158986612
3,217,-1.0990980384475495
3,218,-1.1113725609964378
3,219,-1.123647083545326
3,220,-1.1359216060942143
3,221,-1.1481961286431026
3,222,-1.1604706511919909
3,223,-1.1727451737408792
3,224,-1.1850196962897674
3,225,-1.1972942188386557
3,226,-1.209568741387544
3,227,-1.2218432639364323
3,228,-1.2341177864853206
3,229,-1.2463923090342088
3,230,-1.2586668315830971
3,231,-1.2709413541319854
3,232,-1.2832158766808737
3,233,-1.295490399229762
3,234,-1.3077649217786502
3,235,-1.3200394443275385
3,236,-1.3323139668764268
3,237,-1.344588489425315
3,238,-1.3568630119742033
3,239,-1.3691375345230916
3,240,-1.38141205707198
3,241,-1.3936865796208682
3,242,-1.4059611021697564
3,243,-1.4182356247186447
3,244,-1.430510147267533
3,245,-1.4427846698164213
3,246,-1.4550591923653096
3,247,-1.4673337149141978
3,248,-1.4796082374630861
3,249,-1.4918827600119744
3,250,-1.5041572825608627
