Station Number,Volume (mm^3),Mass (kg),Weight (N),Distance to Next Station (mm),Width (mm),Cross-Sectional Area (mm^2)
24,0.002172544024615426,2.107367703876963,20.673277175033007,100.89285699999982,587.557889,1106.361899126077
25,0.0021740793673489613,2.1088569863284925,20.68788703588251,100.89285800000016,592.4649870000001,1114.062578035041
26,0.002175103305648498,2.109850206479043,20.69763052555941,100.89285699999982,596.055336,1119.3651086413793
27,0.002175755379526805,2.110482718141001,20.703835464963223,100.89285700000028,598.413094,1122.5624317209683
28,0.002197678881737374,2.1317485152852527,20.91245293494833,101.89285699999982,599.66325,1123.9137677334584
29,0.0021545418268653564,2.0899055720593958,20.501973661902674,99.89285699999982,600.000444,1123.9137677334584
30,0.002175755379526805,2.110482718141001,20.703835464963223,100.89285700000028,599.66325,1122.5624317209683
31,0.002175103305648498,2.109850206479043,20.69763052555941,100.89285699999982,598.413094,1119.3651086413793
32,0.0021740793673489613,2.1088569863284925,20.68788703588251,100.89285800000016,596.055336,1114.062578035041
33,0.002172544024615426,2.107367703876963,20.673277175033007,100.89285699999982,592.4649870000001,1106.361899126077
34,0.002170632467773445,2.1055134937402418,20.655087373591773,100.89285700000028,587.557889,1096.0403339260488
35,0.0021680841468737534,2.103041622467541,20.630838316406575,100.89285699999982,581.24811,1082.813516025736
36,0.002164671501624353,2.0997313565756226,20.598364608006857,100.89285699999982,573.479106,1066.4933534153552
37,0.002160376786275048,2.0955654826867964,20.557497385157475,100.89285700000028,564.1834389999999,1047.12405546182
38,0.002154822380881492,2.0901777094550473,20.504643329754014,100.89285699999982,553.318649,1024.9877058854752
39,0.0021476347742002476,2.08320573097424,20.436248220857298,100.89285800000016,540.8289930000001,1001.0222372929862
40,0.0021382338546206783,2.074086838982058,20.34679189041399,100.89285699999982,526.6817189999999,977.1384466198157
41,0.00212538555290414,2.061623986317016,20.22453130576993,100.89285700000028,510.833122,956.8894498225659
42,0.002107725203182809,2.0444934470873246,20.056480715926657,100.89285699999982,493.229228,946.6796598406618
43,0.0020834660366024003,2.020962055504328,19.82563776449746,100.89285699999982,473.862794,957.2263112855505
44,0.0020498858312646413,1.988389256326702,19.506098604564947,100.89285699999982,452.674692,1003.6141654542663
45,0.0020243078247693088,1.9635785900262295,19.262705968157313,100.89285700000073,429.65099499999997,985.312241149172
46,0.0020052267590878474,1.945069956315212,19.08113627145223,100.89285799999925,404.761777,872.5761722845256
47,0.0019682070897347314,1.9091608770426896,18.728868203788785,100.89285700000073,377.96184200000005,752.2108917310837
48,0.0019042381253260598,1.847110981566278,18.12015872916519,100.89285699999982,349.24145599999997,642.1870531978269
49,0.0018549643100980577,1.7993153807951159,17.651283885600087,100.89285699999982,318.567294,527.4374695463171
50,0.001871210877161405,1.8150745508465629,17.80588134380478,100.89285699999982,285.912474,450.36812522767895
51,0.0019149207784976167,1.8574731551426882,18.22181165194977,100.89285699999982,251.258418,430.6969925969388
52,0.0019268204662782648,1.869015852289917,18.335045510964086,100.89285700000073,214.570878,429.62561654782024
53,0.0018560161827095012,1.8003356972282163,17.661293189808802,100.89285799999925,175.843588,446.451711659554
54,0.0015911713763396972,1.5434362350495063,15.141109465835658,100.89285700000073,135.04077,406.23486363836577
55,0.0010289287492901463,0.9980608868114419,9.790977299620245,100.89285699999982,92.13828699999999,256.3707921990419
56,0.0002415935171468923,0.23434571163248552,2.298931431114683,100.89285699999982,0.0,0.0
