Station,Length,Shear
1,179,-1174.1652844451387
1,180,-1174.1652844451387
1,181,-1174.1652844451387
1,182,-1174.1652844451387
1,183,-1174.1652844451387
1,184,-1174.1652844451387
1,185,-1174.1652844451387
1,186,-1174.1652844451387
1,187,-1174.1652844451387
1,188,-1174.1652844451387
1,189,-1174.1652844451387
1,190,-1174.1652844451387
1,191,-1174.1652844451387
1,192,-1174.1652844451387
1,193,-1174.1652844451387
1,194,-1174.1652844451387
1,195,-1174.1652844451387
1,196,-1174.1652844451387
1,197,-1174.1652844451387
1,198,-1174.1652844451387
1,199,-1174.1652844451387
1,200,-1174.1652844451387
1,201,-1174.1652844451387
1,202,-1174.1652844451387
1,203,-1174.1652844451387
1,204,-1174.1652844451387
2,205,-1174.1652844451387
2,206,-1174.1652844451387
2,207,-1174.1652844451387
2,208,-1174.1652844451387
2,209,-1174.1652844451387
2,210,-1174.1652844451387
2,211,-1174.1652844451387
2,212,-1174.1652844451387
2,213,-1174.1652844451387
2,214,-1174.1652844451387
2,215,-1174.1652844451387
2,216,-1174.1652844451387
2,217,-1174.1652844451387
2,218,-1174.1652844451387
2,219,-1174.1652844451387
2,220,-1174.1652844451387
2,221,-1174.1652844451387
2,222,-1174.1652844451387
2,223,-1174.1652844451387
2,224,-1174.1652844451387
2,225,-1174.1652844451387
2,226,-1174.1652844451387
2,227,-1174.1652844451387
2,228,-1174.1652844451387
2,229,-1174.1652844451387
2,230,-1174.1652844451387
2,231,-1174.1652844451387
2,232,-1174.1652844451387
2,233,-1174.1652844451387
2,234,-1174.1652844451387
2,235,-1174.1652844451387
2,236,-1174.1652844451387
2,237,-1174.1652844451387
2,238,-1174.1652844451387
2,239,-1174.1652844451387
2,240,-1174.1652844451387
2,241,-1174.1652844451387
2,242,-1174.1652844451387
2,243,-1174.1652844451387
2,244,-1174.1652844451387
2,245,-1174.1652844451387
2,246,-1174.1652844451387
2,247,-1174.1652844451387
2,248,-1174.1652844451387
2,249,-1174.1652844451387
2,250,-1174.1652844451387
2,251,-1174.1652844451387
2,252,-1174.1652844451387
2,253,-1174.1652844451387
2,254,-1174.1652844451387
2,255,-1174.1652844451387
2,256,-1174.1652844451387
2,257,-1204.0493557270922
2,258,-1204.0493557270922
2,259,-1204.0493557270922
2,260,-1204.0493557270922
2,261,-1204.0493557270922
2,262,-1204.0493557270922
2,263,-1204.0493557270922
2,264,-1204.0493557270922
2,265,-1204.0493557270922
2,266,-1204.0493557270922
2,267,-1204.0493557270922
2,268,-1204.0493557270922
2,269,-1204.0493557270922
2,270,-1204.0493557270922
2,271,-1204.0493557270922
2,272,-1204.0493557270922
2,273,-1204.0493557270922
2,274,-1204.0493557270922
2,275,-1204.0493557270922
2,276,-1204.0493557270922
2,277,-1204.0493557270922
2,278,-1204.0493557270922
2,279,-1204.0493557270922
2,280,-1204.0493557270922
2,281,-1204.0493557270922
2,282,-1204.0493557270922
2,283,-1204.0493557270922
2,284,-1204.0493557270922
2,285,-1204.0493557270922
2,286,-1204.0493557270922
2,287,-1204.0493557270922
2,288,-1204.0493557270922
2,289,-1204.0493557270922
2,290,-1204.0493557270922
2,291,-1204.0493557270922
2,292,-1204.0493557270922
2,293,-1204.0493557270922
2,294,-1204.0493557270922
2,295,-1204.0493557270922
2,296,-1204.0493557270922
2,297,-1204.0493557270922
2,298,-1204.0493557270922
2,299,-1204.0493557270922
2,300,-1204.0493557270922
2,301,-1204.0493557270922
2,302,-1204.0493557270922
2,303,-1204.0493557270922
2,304,-1204.0493557270922
2,305,-1204.0493557270922
2,306,-1204.0493557270922
2,307,-1204.0493557270922
3,308,-1204.0493557270922
3,309,-1204.0493557270922
3,310,-1204.0493557270922
3,311,-1204.0493557270922
3,312,-1204.0493557270922
3,313,-1204.0493557270922
3,314,-1204.0493557270922
3,315,-1204.0493557270922
3,316,-1204.0493557270922
3,317,-1204.0493557270922
3,318,-1204.0493557270922
3,319,-1204.0493557270922
3,320,-1204.0493557270922
3,321,-1204.0493557270922
3,322,-1204.0493557270922
3,323,-1204.0493557270922
3,324,-1204.0493557270922
3,325,-1204.0493557270922
3,326,-1204.0493557270922
3,327,-1204.0493557270922
3,328,-1204.0493557270922
3,329,-1204.0493557270922
