Station,Length,Moment
2,294,-0.3242640912991804
2,295,-0.32822743838948903
2,296,-0.3321907854797977
2,297,-0.33615413257010635
2,298,-0.340117479660415
2,299,-0.34408082675072366
2,300,-0.3480441738410323
2,301,-0.35200752093134097
2,302,-0.3559708680216496
2,303,-0.3599342151119583
2,304,-0.36389756220226693
2,305,-0.3678609092925756
2,306,-0.37182425638288424
2,307,-0.3757876034731929
3,308,-0.37975095056350155
3,309,-0.3837142976538102
3,310,-0.38767764474411887
3,311,-0.3916409918344275
3,312,-0.3956043389247362
3,313,-0.39956768601504483
3,314,-0.4035310331053535
3,315,-0.40749438019566214
3,316,-0.4114577272859708
3,317,-0.41542107437627945
3,318,-0.4193844214665881
3,319,-0.42334776855689676
3,320,-0.4273111156472054
3,321,-0.4312744627375141
3,322,-0.43523780982782273
3,323,-0.4392011569181314
3,324,-0.44316450400844004
3,325,-0.4471278510987487
3,326,-0.45109119818905735
3,327,-0.455054545279366
3,328,-0.45901789236967466
3,329,-0.4629812394599833
3,330,-0.466944586550292
3,331,-0.47090793364060063
3,332,-0.4748712807309093
3,333,-0.47883462782121794
3,334,-0.4827979749115266
3,335,-0.48676132200183525
3,336,-0.4907246690921439
3,337,-0.49468801618245256
3,338,-0.4986513632727612
3,339,-0.5026147103630698
3,340,-0.5065780574533785
3,341,-0.5105414045436871
3,342,-0.5145047516339958
3,343,-0.5184680987243044
3,344,-0.5224314458146131
3,345,-0.5263947929049217
3,346,-0.5303581399952304
3,347,-0.5343214870855391
3,348,-0.5382848341758477
3,349,-0.5422481812661564
3,350,-0.546211528356465
3,351,-0.5501748754467737
3,352,-0.5541382225370823
3,353,-0.558101569627391
3,354,-0.5620649167176996
3,355,-0.5660282638080083
3,356,-0.569991610898317
3,357,-0.5739549579886256
3,358,-0.5779183050789343
3,359,-0.5818816521692429
3,360,-0.5894069333044333
3,361,-0.5969322144396236
3,362,-0.604457495574814
3,363,-0.6119827767100043
3,364,-0.6195080578451947
3,365,-0.627033338980385
3,366,-0.6345586201155754
3,367,-0.6420839012507658
3,368,-0.6496091823859561
3,369,-0.6571344635211465
3,370,-0.6646597446563368
3,371,-0.6721850257915272
3,372,-0.6797103069267175
3,373,-0.6872355880619079
3,374,-0.6947608691970982
3,375,-0.7022861503322886
3,376,-0.7098114314674789
3,377,-0.7173367126026693
3,378,-0.7248619937378596
3,379,-0.73238727487305
