Length,Moment
313,-1.7331021162002411
314,-1.7502074263821172
315,-1.7673127365639933
316,-1.7844180467458695
317,-1.8015233569277456
318,-1.8186286671096217
319,-1.8357339772914978
320,-1.852839287473374
321,-1.86994459765525
322,-1.8870499078371261
323,-1.9041552180190022
324,-1.9212605282008783
325,-1.9383658383827544
326,-1.9554711485646306
327,-1.9725764587465067
328,-1.9896817689283828
329,-2.006787079110259
330,-2.023892389292135
331,-2.040997699474011
332,-2.058103009655887
333,-2.0752083198377633
334,-2.0923136300196394
335,-2.1094189402015155
336,-2.1265242503833917
337,-2.1436295605652678
338,-2.160734870747144
339,-2.17784018092902
340,-2.194945491110896
341,-2.212050801292772
342,-2.2291561114746483
343,-2.2462614216565244
344,-2.2633667318384005
345,-2.2804720420202766
346,-2.2975773522021528
347,-2.314682662384029
348,-2.331787972565905
349,-2.348893282747781
350,-2.365998592929657
351,-2.3831039031115333
352,-2.4002092132934094
353,-2.4173145234752855
354,-2.4344198336571616
355,-2.4515251438390377
356,-2.468630454020914
357,-2.48573576420279
358,-2.502841074384666
359,-2.519946384566542
360,-2.552144479289183
361,-2.584342574011824
362,-2.6165406687344652
363,-2.6487387634571062
364,-2.6809368581797473
365,-2.7131349529023883
366,-2.7453330476250293
367,-2.7775311423476703
368,-2.8097292370703113
369,-2.8419273317929523
370,-2.8741254265155933
371,-2.9063235212382343
372,-2.9385216159608754
373,-2.9707197106835164
374,-3.0029178054061574
375,-3.0351159001287984
376,-3.0673139948514394
377,-3.0995120895740804
378,-3.1317101842967214
379,-3.1639082790193624
380,-3.1961063737420035
381,-3.2283044684646445
382,-3.2605025631872855
383,-3.2927006579099265
384,-3.3248987526325675
385,-3.3570968473552085
386,-3.3892949420778495
387,-3.4214930368004906
388,-3.4536911315231316
389,-3.4858892262457726
390,-3.5180873209684136
391,-3.5502854156910546
392,-3.5824835104136956
393,-3.6146816051363366
394,-3.6468796998589776
395,-3.6790777945816187
396,-3.7112758893042597
397,-3.7434739840269007
398,-3.7756720787495417
399,-3.8078701734721827
400,-3.8400682681948237
401,-3.8722663629174647
402,-3.9044644576401057
403,-3.9366625523627468
404,-3.9688606470853878
405,-4.001058741808029
406,-4.03325683653067
407,-4.065454931253312
408,-4.097653025975953
409,-4.129851120698595
410,-4.162049215421236
411,-4.1942473101438775
412,-4.226445404866519
413,-4.25864349958916
414,-4.290841594311802
415,-4.323039689034443
416,-4.355237783757085
417,-4.387435878479726
418,-4.419633973202368
419,-4.451832067925009
420,-4.484030162647651
421,-4.516228257370292
422,-4.5484263520929336
423,-4.580624446815575
424,-4.6128225415382165
425,-4.645020636260858
426,-4.677218730983499
427,-4.709416825706141
428,-4.741614920428782
429,-4.773813015151424
430,-4.806011109874065
431,-4.838209204596707
432,-4.870407299319348
433,-4.90260539404199
434,-4.934803488764631
435,-4.9670015834872725
436,-4.999199678209914
437,-5.031397772932555
438,-5.063595867655197
439,-5.095793962377838
440,-5.12799205710048
441,-5.160190151823121
442,-5.192388246545763
443,-5.224586341268404
444,-5.256784435991046
445,-5.288982530713687
446,-5.3211806254363285
447,-5.35337872015897
448,-5.385576814881611
449,-5.417774909604253
450,-5.449973004326894
451,-5.482171099049536
452,-5.514369193772177
453,-5.546567288494819
454,-5.57876538321746
455,-5.610963477940102
456,-5.643161572662743
457,-5.6753596673853846
