Time (s),Displacement y(t) (m),Velocity y'(t) (m/s),Acceleration y''(t) (m/s^2)
0.6801700425106276,4.427666244146922e-05,-9.393047236169502e-05,-0.01998812158382012
0.6901725431357839,4.254653066769622e-05,-0.0002509306953555427,-0.014175409280623757
0.7001750437609402,3.934822131611477e-05,-0.0003845258631621179,-0.012493201720321418
0.7101775443860965,3.4842812149502586e-05,-0.0005122286158516579,-0.011628146638415464
0.7201800450112528,2.927498891272606e-05,-0.0006055222382301117,-0.007705633004914555
0.730182545636409,2.2803009073757396e-05,-0.0006848190443679192,-0.009999468176791787
0.7401850462615653,1.53137672776642e-05,-0.0008110152990309466,-0.016219991638044048
0.7501875468867216,6.588858559837869e-06,-0.0009312583823424254,-0.009240995630720962
0.7601900475118779,-2.9938132600687175e-06,-0.0009934428732470111,-0.006962214642271351
0.7701925481370342,-1.2923501171166943e-05,-0.0009829277581081693,0.0034551773035731916
0.7801950487621905,-2.2581648022430868e-05,-0.0009208466724126308,0.006299591917569966
0.7901975493873468,-3.134700404576662e-05,-0.0008277084481531437,0.01030653126242421
0.800200050012503,-3.917668610023414e-05,-0.0007359869515552522,0.009354918123474103
0.8102025506376594,-4.63041490108176e-05,-0.0006929835045963687,0.002724718467376773
0.8202050512628157,-5.2867401585420205e-05,-0.0006082155483847505,0.013398223286581211
0.830207551887972,-5.831183710270247e-05,-0.00047622672564205215,0.009998503458744663
0.8402100525131283,-6.275190818116613e-05,-0.0004218289855932906,0.002235245124252685
0.8502125531382846,-6.684287878572403e-05,-0.00040113967631120697,0.004560051648588415
0.8602150537634409,-7.05834339241122e-05,-0.00033512809783117867,0.00928381778852288
0.8702175543885972,-7.31436864492916e-05,-0.00016740429714568058,0.019701592144807746
0.8802200550137534,-7.400858803698473e-05,-1.7428282952354645e-05,0.009947557916165256
0.8902225556389097,-7.372344159758482e-05,7.50868134453984e-05,0.01098413819496486
0.900225056264066,-7.213773180819071e-05,0.0002607707298151342,0.024891600501566916
0.9102275568892223,-6.828523236903564e-05,0.0005031408510198736,0.02230218690207081
0.9202300575143786,-6.24547636807295e-05,0.0006433879290809977,0.0035420970923770957
0.9302325581395349,-5.5851418808798694e-05,0.0006543337582271846,-0.005665375787257649
0.9402350587646912,-4.981072997316488e-05,0.0005318690588933099,-0.018584342396385845
0.9502375593898474,-4.5392196865739634e-05,0.0003441192641991445,-0.01863583179228378
0.9602400600150037,-4.290529486089301e-05,0.000153779927712828,-0.01558412869178529
0.97024256064016,-4.222894170765558e-05,-5.4267499619590695e-06,-0.015034980894675722
0.9802450612653163,-4.2894392727197354e-05,-0.00011427172960333946,-0.006540883602941354
0.9902475618904726,-4.433922650493642e-05,-0.0001643007929941238,-0.006385300955749106
1.000250062515629,-4.6002747350431484e-05,-0.00016655819161547417,0.0027537349520724047
1.0102525631407853,-4.7662220825723374e-05,-0.00017310270167279602,-0.00298582558015036
1.0202550637659416,-4.942897376818164e-05,-0.00018182746157254217,0.0044703838660370785
1.0302575643910978,-5.115798793751849e-05,-0.00015704852054167098,-0.0011614438981557506
1.0402600650162541,-5.275876469073199e-05,-0.00015765138992514705,0.0018997201619919528
1.0502625656414104,-5.4202288639425777e-05,-0.00012932672739409927,0.0031571232149185174
1.0602650662665667,-5.5437288589643113e-05,-0.00012759185792290712,-0.002140463559746511
1.070267566891723,-5.702781348101467e-05,-0.00019364167230867237,-0.007514055120147422
1.0802700675168793,-5.9046184994024904e-05,-0.00021033161341373714,0.0027032788443931803
1.0902725681420355,-6.091175230480399e-05,-0.00013722195423823274,0.010156867134395856
1.1002750687671918,-6.16879784424196e-05,-1.6926582948120365e-05,0.011976205721419443
1.1102775693923481,-6.138205114035882e-05,7.539530457925078e-05,0.006595446256326892
1.1202800700175044,-6.0409290066526846e-05,0.00011162202301997045,0.0027056349204047894
1.1302825706426607,-5.897262585643436e-05,0.00018694760097008272,0.010487391611887891
1.140285071267817,-5.668153227961393e-05,0.00027359688488066687,0.003643641887133305
1.1502875718929733,-5.374557572445592e-05,0.00029741807410634175,0.002204241773533691
1.1602900725181295,-5.072157449324827e-05,0.000301283649044319,-0.0012622851145357274
1.1702925731432858,-4.7821801619316596e-05,0.0002772394426566499,-0.0042693076085208725
1.1802950737684421,-4.5148322398432273e-05,0.0002587289788207692,0.0007740667638714177
1.1902975743935984,-4.254939113907849e-05,0.0002518861449698448,-0.002978356968205717
1.2003000750187547,-4.029526451664135e-05,0.00019386665538026991,-0.007527505849061455
1.210302575643911,-3.879907895174127e-05,0.00010453102234027247,-0.00870156781975203
1.2203050762690673,-3.795946560714993e-05,7.94813115924911e-05,0.0023578706191451203
1.2303075768942235,-3.702686944717754e-05,0.0001188979415263054,0.003100875626729446
1.2403100775193798,-3.5649879815235054e-05,0.00015418863942837964,0.0036380983895188852
1.2503125781445361,-3.383145206581417e-05,0.00020907612498673983,0.006585919621335787
1.2603150787696924,-3.120457146957173e-05,0.0003108675554775638,0.009695759386433389
1.2703175793948487,-2.79846079702822e-05,0.00034509947942786055,3.082982474046983e-05
1.280320080020005,-2.4641211953231923e-05,0.0003073057629383501,-0.004149375101259779
1.2903225806451613,-2.1532868302948663e-05,0.00031967810415705624,0.007271369234819829
1.3003250812703175,-1.794745693085451e-05,0.00040056714813328765,0.007677627139348965
1.3103275818954738,-1.365928831871443e-05,0.00046457626596635784,0.004592344750676059
1.32033008252063,-8.86165709069334e-06,0.00048306736552210185,-0.0004540114317352208
1.3303325831457864,-3.995648111389397e-06,0.00048669175970219507,0.001783922869771049
1.3403350837709427,9.566527624488716e-07,0.0005031903801906596,0.0017360285428732651
1.350337584396099,6.079193673921451e-06,0.0005229891249854138,0.0024843076770629537
1.3603400850212553,1.1392503496339987e-05,0.0005407128530527761,0.0009529618937855229
1.3703425856464115,1.6924810841432736e-05,0.0005673614902762206,0.0035582796474933317
1.3803450862715678,2.286967793631877e-05,0.0006184446857611721,0.003604682212360735
1.390347586896724,2.9087117490951756e-05,0.000629961674055502,-0.008277617282679785
1.4003500875218804,3.5141999974322586e-05,0.0005698631055402719,-0.009562804162700228
1.4103525881470367,4.0334030312449454e-05,0.0004507976685957142,-0.012971307919675618
1.420355088772193,4.4470491575898645e-05,0.00039217178782962616,-0.0013427465725007067
1.4303575893973492,4.836384381670657e-05,0.00039467585768342405,-0.005032936112262519
1.4403600900225055,5.2314115265789685e-05,0.00038970258754529125,-0.0027189484962097414
1.4503625906476618,5.5988756351322834e-05,0.0003289313568623208,-0.009782499423861096
1.460365091272818,5.871643179590163e-05,0.00022130181064164856,-0.009687973311877075
1.4703675918979744,6.062127991857328e-05,0.00015860574654315887,-0.0027216208366945653
1.4803700925231307,6.216340127374574e-05,0.00016215822932584212,0.001823052645270593
1.490372593148287,6.382643439138289e-05,0.0001734329812379648,-0.00014466854035489812
1.5003750937734432,6.569095327965154e-05,0.00020069413947294175,0.006961727753109821
1.5103775943985995,6.800219981077257e-05,0.00026525776336430284,0.008035080078484242
1.5203800950237558,7.10316873764041e-05,0.0003459551544756121,0.007509209928255366
1.530382595648912,7.508154448590251e-05,0.0004531623358860706,0.008750001611736308
1.5403850962740684,7.969108990068246e-05,0.000475297152538859,-0.004375722019029073
1.5503875968992247,8.408736344574352e-05,0.0003857406589027676,-0.0093406428472482
1.560390097524381,8.775410427645713e-05,0.0003595454154520278,0.004266430385621052
1.5703925981495372,9.161964497645555e-05,0.000424179814777615,0.006052306449227136
1.5803950987746935,9.605404045941753e-05,0.0004617381062037038,0.0034189471127893272
1.5903975993998498,0.00010099064143913128,0.000528160782209889,0.010679707672621754
